id,worker,answer
344,A26UOQCTO9VDZO,0
344,AMKWR51EXOPA4,0
344,A1MYBMOZH043LK,1
344,AZ311BQ3SX1G0,1
344,A2BIB960QFJWZD,1
344,A3KWQVFAS7MXE0,0
344,A1P02JFXRXG5V,0
344,A382SL9ROIY1P6,1
344,AKEHW5BOBEBFS,1
344,A23KNYW5XJ9FKD,1
344,A1WVLU0KTI9GYB,0
344,A11MPIAKPRMF9T,1
344,A2PEL01IY4YBLJ,1
344,A2ZPPP0XVV8C0W,0
344,A2MH3BPMSRX0C6,0
344,A3Q1351EOKQ4DH,0
344,APHOPRAFUG98Q,0
344,A3VVBTVOIYLJVC,1
344,A2HVUJSA0VSK4D,1
344,A1SRI5PDX6WB9B,1
0,A2IJELYFUOI5T2,0
0,A26UOQCTO9VDZO,0
0,AMKWR51EXOPA4,1
0,AZ311BQ3SX1G0,1
0,A2DIM099APN6L7,1
0,A3VVBTVOIYLJVC,0
0,A3HJNOCKXFOOVP,0
0,ANS32KK8E96UK,0
0,A382SL9ROIY1P6,1
0,AKEHW5BOBEBFS,1
0,A1LWNCUCQYFBFR,0
0,A1WVLU0KTI9GYB,0
0,AZJYQJOIQSZ8H,0
0,A2PEL01IY4YBLJ,1
0,A1P02JFXRXG5V,1
0,A1TMIL6ZSR5EOO,0
0,AMJ9X1MIE8CZ5,0
0,A396BEA7NCTDEW,0
0,A1SRI5PDX6WB9B,0
0,AYAD78AI5KL0T,0
346,A26UOQCTO9VDZO,1
346,AMKWR51EXOPA4,1
346,A1MYBMOZH043LK,0
346,AZ311BQ3SX1G0,1
346,A2BIB960QFJWZD,1
346,A3KWQVFAS7MXE0,0
346,A1P02JFXRXG5V,0
346,A382SL9ROIY1P6,1
346,AKEHW5BOBEBFS,1
346,A23KNYW5XJ9FKD,0
346,A1WVLU0KTI9GYB,0
346,A11MPIAKPRMF9T,0
346,A2PEL01IY4YBLJ,1
346,A2ZPPP0XVV8C0W,0
346,A2MH3BPMSRX0C6,0
346,A3Q1351EOKQ4DH,0
346,APHOPRAFUG98Q,0
346,A3VVBTVOIYLJVC,0
346,A2HVUJSA0VSK4D,0
346,A1SRI5PDX6WB9B,0
347,A26UOQCTO9VDZO,0
347,AMKWR51EXOPA4,0
347,A1MYBMOZH043LK,0
347,AZ311BQ3SX1G0,1
347,A2BIB960QFJWZD,1
347,A3KWQVFAS7MXE0,0
347,A1P02JFXRXG5V,1
347,A382SL9ROIY1P6,1
347,AKEHW5BOBEBFS,0
347,A23KNYW5XJ9FKD,0
347,A1WVLU0KTI9GYB,0
347,A11MPIAKPRMF9T,0
347,A2PEL01IY4YBLJ,1
347,A2ZPPP0XVV8C0W,0
347,A2MH3BPMSRX0C6,1
347,A3Q1351EOKQ4DH,0
347,APHOPRAFUG98Q,1
347,A3VVBTVOIYLJVC,0
347,A2HVUJSA0VSK4D,1
347,A1SRI5PDX6WB9B,0
340,A26UOQCTO9VDZO,0
340,AMKWR51EXOPA4,0
340,A1MYBMOZH043LK,1
340,AZ311BQ3SX1G0,1
340,A2BIB960QFJWZD,1
340,A3KWQVFAS7MXE0,0
340,A1P02JFXRXG5V,1
340,A382SL9ROIY1P6,1
340,AKEHW5BOBEBFS,1
340,A23KNYW5XJ9FKD,1
340,A1WVLU0KTI9GYB,0
340,A11MPIAKPRMF9T,1
340,A2PEL01IY4YBLJ,1
340,A2ZPPP0XVV8C0W,0
340,A2MH3BPMSRX0C6,1
340,A3Q1351EOKQ4DH,1
340,APHOPRAFUG98Q,0
340,A3VVBTVOIYLJVC,0
340,A2HVUJSA0VSK4D,1
340,A1SRI5PDX6WB9B,1
341,A26UOQCTO9VDZO,1
341,AMKWR51EXOPA4,0
341,A1MYBMOZH043LK,1
341,AZ311BQ3SX1G0,1
341,A2BIB960QFJWZD,1
341,A3KWQVFAS7MXE0,0
341,A1P02JFXRXG5V,1
341,A382SL9ROIY1P6,0
341,AKEHW5BOBEBFS,0
341,A23KNYW5XJ9FKD,1
341,A1WVLU0KTI9GYB,1
341,A11MPIAKPRMF9T,0
341,A2PEL01IY4YBLJ,0
341,A2ZPPP0XVV8C0W,1
341,A2MH3BPMSRX0C6,0
341,A3Q1351EOKQ4DH,1
341,APHOPRAFUG98Q,1
341,A3VVBTVOIYLJVC,1
341,A2HVUJSA0VSK4D,0
341,A1SRI5PDX6WB9B,1
342,A26UOQCTO9VDZO,0
342,AMKWR51EXOPA4,0
342,A1MYBMOZH043LK,0
342,AZ311BQ3SX1G0,1
342,A2BIB960QFJWZD,1
342,A3KWQVFAS7MXE0,1
342,A1P02JFXRXG5V,1
342,A382SL9ROIY1P6,1
342,AKEHW5BOBEBFS,1
342,A23KNYW5XJ9FKD,0
342,A1WVLU0KTI9GYB,0
342,A11MPIAKPRMF9T,0
342,A2PEL01IY4YBLJ,0
342,A2ZPPP0XVV8C0W,0
342,A2MH3BPMSRX0C6,1
342,A3Q1351EOKQ4DH,0
342,APHOPRAFUG98Q,0
342,A3VVBTVOIYLJVC,0
342,A2HVUJSA0VSK4D,1
342,A1SRI5PDX6WB9B,0
343,A26UOQCTO9VDZO,1
343,AMKWR51EXOPA4,0
343,A1MYBMOZH043LK,1
343,AZ311BQ3SX1G0,1
343,A2BIB960QFJWZD,1
343,A3KWQVFAS7MXE0,0
343,A1P02JFXRXG5V,1
343,A382SL9ROIY1P6,0
343,AKEHW5BOBEBFS,0
343,A23KNYW5XJ9FKD,0
343,A1WVLU0KTI9GYB,1
343,A11MPIAKPRMF9T,1
343,A2PEL01IY4YBLJ,1
343,A2ZPPP0XVV8C0W,1
343,A2MH3BPMSRX0C6,1
343,A3Q1351EOKQ4DH,0
343,APHOPRAFUG98Q,1
343,A3VVBTVOIYLJVC,0
343,A2HVUJSA0VSK4D,0
343,A1SRI5PDX6WB9B,1
810,APHOPRAFUG98Q,0
810,A3TBGB7VGRRYCT,0
810,A26UOQCTO9VDZO,1
810,AMKWR51EXOPA4,0
810,AZ311BQ3SX1G0,1
810,A2BIB960QFJWZD,1
810,A3KWQVFAS7MXE0,0
810,A1SRI5PDX6WB9B,0
810,A2WDPK69XZC9H,0
810,AKEHW5BOBEBFS,1
810,A2ZPPP0XVV8C0W,0
810,A25WL7E75KK134,1
810,A2PEL01IY4YBLJ,1
810,A2MH3BPMSRX0C6,1
810,A3Q1351EOKQ4DH,0
810,A3PHU29FNBH1NW,0
810,A38EIJ4VOJH3YO,0
810,A2J74WQXWG5M9W,0
810,A2HVUJSA0VSK4D,0
810,AGV5848LC2IXX,0
811,APHOPRAFUG98Q,0
811,A3TBGB7VGRRYCT,0
811,A26UOQCTO9VDZO,1
811,AMKWR51EXOPA4,0
811,AZ311BQ3SX1G0,1
811,A2BIB960QFJWZD,1
811,A3KWQVFAS7MXE0,0
811,A1SRI5PDX6WB9B,0
811,A2WDPK69XZC9H,0
811,AKEHW5BOBEBFS,1
811,A2ZPPP0XVV8C0W,0
811,A25WL7E75KK134,0
811,A2PEL01IY4YBLJ,1
811,A2MH3BPMSRX0C6,1
811,A3Q1351EOKQ4DH,1
811,A3PHU29FNBH1NW,0
811,A38EIJ4VOJH3YO,1
811,A2J74WQXWG5M9W,0
811,A2HVUJSA0VSK4D,1
811,AGV5848LC2IXX,1
812,APHOPRAFUG98Q,0
812,A3TBGB7VGRRYCT,1
812,A26UOQCTO9VDZO,0
812,AMKWR51EXOPA4,0
812,AZ311BQ3SX1G0,1
812,A2BIB960QFJWZD,1
812,A3KWQVFAS7MXE0,0
812,A1SRI5PDX6WB9B,1
812,A2WDPK69XZC9H,0
812,AKEHW5BOBEBFS,0
812,A2ZPPP0XVV8C0W,0
812,A25WL7E75KK134,1
812,A2PEL01IY4YBLJ,0
812,A2MH3BPMSRX0C6,1
812,A3Q1351EOKQ4DH,1
812,A3PHU29FNBH1NW,1
812,A38EIJ4VOJH3YO,1
812,A2J74WQXWG5M9W,1
812,A2HVUJSA0VSK4D,0
812,AGV5848LC2IXX,1
813,APHOPRAFUG98Q,0
813,A3TBGB7VGRRYCT,0
813,A26UOQCTO9VDZO,1
813,AMKWR51EXOPA4,0
813,AZ311BQ3SX1G0,1
813,A2BIB960QFJWZD,1
813,A3KWQVFAS7MXE0,1
813,A1SRI5PDX6WB9B,0
813,A2WDPK69XZC9H,0
813,AKEHW5BOBEBFS,0
813,A2ZPPP0XVV8C0W,1
813,A25WL7E75KK134,1
813,A2PEL01IY4YBLJ,1
813,A2MH3BPMSRX0C6,1
813,A3Q1351EOKQ4DH,0
813,A3PHU29FNBH1NW,0
813,A38EIJ4VOJH3YO,0
813,A2J74WQXWG5M9W,0
813,A2HVUJSA0VSK4D,1
813,AGV5848LC2IXX,0
348,A26UOQCTO9VDZO,0
348,AMKWR51EXOPA4,1
348,A1MYBMOZH043LK,0
348,AZ311BQ3SX1G0,1
348,A2BIB960QFJWZD,1
348,A3KWQVFAS7MXE0,0
348,A1P02JFXRXG5V,1
348,A382SL9ROIY1P6,0
348,AKEHW5BOBEBFS,1
348,A23KNYW5XJ9FKD,0
348,A1WVLU0KTI9GYB,0
348,A11MPIAKPRMF9T,0
348,A2PEL01IY4YBLJ,0
348,A2ZPPP0XVV8C0W,0
348,A2MH3BPMSRX0C6,0
348,A3Q1351EOKQ4DH,0
348,APHOPRAFUG98Q,0
348,A3VVBTVOIYLJVC,0
348,A2HVUJSA0VSK4D,0
348,A1SRI5PDX6WB9B,0
349,A26UOQCTO9VDZO,1
349,AMKWR51EXOPA4,0
349,A1MYBMOZH043LK,1
349,AZ311BQ3SX1G0,1
349,A2BIB960QFJWZD,1
349,A3KWQVFAS7MXE0,0
349,A1P02JFXRXG5V,0
349,A382SL9ROIY1P6,0
