id,worker,answer
2009,A11UXN488YXXO,1
2006,A11UXN488YXXO,1
2008,A11UXN488YXXO,1
2007,A11UXN488YXXO,1
2002,A11UXN488YXXO,1
2003,A11UXN488YXXO,1
2000,A11UXN488YXXO,1
2001,A11UXN488YXXO,1
2019,A11UXN488YXXO,1
2018,A11UXN488YXXO,0
2004,A11UXN488YXXO,1
2005,A11UXN488YXXO,1
2015,A11UXN488YXXO,1
2014,A11UXN488YXXO,1
2017,A11UXN488YXXO,1
2016,A11UXN488YXXO,1
2011,A11UXN488YXXO,1
2010,A11UXN488YXXO,1
2013,A11UXN488YXXO,1
2012,A11UXN488YXXO,1
2009,AZ311BQ3SX1G0,1
2006,AZ311BQ3SX1G0,1
2008,AZ311BQ3SX1G0,1
2007,AZ311BQ3SX1G0,1
2002,AZ311BQ3SX1G0,1
2003,AZ311BQ3SX1G0,1
2000,AZ311BQ3SX1G0,1
2001,AZ311BQ3SX1G0,1
2019,AZ311BQ3SX1G0,1
2018,AZ311BQ3SX1G0,1
2004,AZ311BQ3SX1G0,1
2005,AZ311BQ3SX1G0,1
2015,AZ311BQ3SX1G0,1
2014,AZ311BQ3SX1G0,1
2017,AZ311BQ3SX1G0,1
2016,AZ311BQ3SX1G0,1
2011,AZ311BQ3SX1G0,1
2010,AZ311BQ3SX1G0,1
2013,AZ311BQ3SX1G0,1
2012,AZ311BQ3SX1G0,1
2009,A1CO9E7XI2CSDA,0
2006,A1CO9E7XI2CSDA,1
2008,A1CO9E7XI2CSDA,0
2007,A1CO9E7XI2CSDA,0
2002,A1CO9E7XI2CSDA,1
2003,A1CO9E7XI2CSDA,1
2000,A1CO9E7XI2CSDA,0
2001,A1CO9E7XI2CSDA,0
2019,A1CO9E7XI2CSDA,0
2018,A1CO9E7XI2CSDA,0
2004,A1CO9E7XI2CSDA,0
2005,A1CO9E7XI2CSDA,0
2015,A1CO9E7XI2CSDA,1
2014,A1CO9E7XI2CSDA,1
2017,A1CO9E7XI2CSDA,1
2016,A1CO9E7XI2CSDA,1
2011,A1CO9E7XI2CSDA,0
2010,A1CO9E7XI2CSDA,0
2013,A1CO9E7XI2CSDA,0
2012,A1CO9E7XI2CSDA,0
2009,A2MH3BPMSRX0C6,0
2006,A2MH3BPMSRX0C6,1
2008,A2MH3BPMSRX0C6,1
2007,A2MH3BPMSRX0C6,0
2002,A2MH3BPMSRX0C6,1
2003,A2MH3BPMSRX0C6,0
2000,A2MH3BPMSRX0C6,0
2001,A2MH3BPMSRX0C6,1
2019,A2MH3BPMSRX0C6,1
2018,A2MH3BPMSRX0C6,1
2004,A2MH3BPMSRX0C6,1
2005,A2MH3BPMSRX0C6,0
2015,A2MH3BPMSRX0C6,0
2014,A2MH3BPMSRX0C6,1
2017,A2MH3BPMSRX0C6,0
2016,A2MH3BPMSRX0C6,1
2011,A2MH3BPMSRX0C6,0
2010,A2MH3BPMSRX0C6,1
2013,A2MH3BPMSRX0C6,0
2012,A2MH3BPMSRX0C6,1
2009,A16LTR3HF70L05,1
2006,A16LTR3HF70L05,1
2008,A16LTR3HF70L05,0
2007,A16LTR3HF70L05,0
2002,A16LTR3HF70L05,1
2003,A16LTR3HF70L05,1
2000,A16LTR3HF70L05,1
2001,A16LTR3HF70L05,0
2019,A16LTR3HF70L05,0
2018,A16LTR3HF70L05,0
2004,A16LTR3HF70L05,0
2005,A16LTR3HF70L05,0
2015,A16LTR3HF70L05,1
2014,A16LTR3HF70L05,1
2017,A16LTR3HF70L05,1
2016,A16LTR3HF70L05,1
2011,A16LTR3HF70L05,0
2010,A16LTR3HF70L05,0
2013,A16LTR3HF70L05,0
2012,A16LTR3HF70L05,0
2009,A2BIB960QFJWZD,1
2006,A2BIB960QFJWZD,1
2008,A2BIB960QFJWZD,1
2007,A2BIB960QFJWZD,1
2002,A2BIB960QFJWZD,1
2003,A2BIB960QFJWZD,1
2000,A2BIB960QFJWZD,1
2001,A2BIB960QFJWZD,1
2019,A2BIB960QFJWZD,1
2018,A2BIB960QFJWZD,1
2004,A2BIB960QFJWZD,1
2005,A2BIB960QFJWZD,1
2015,A2BIB960QFJWZD,1
2014,A2BIB960QFJWZD,1
2017,A2BIB960QFJWZD,1
2016,A2BIB960QFJWZD,1
2011,A2BIB960QFJWZD,1
2010,A2BIB960QFJWZD,1
2013,A2BIB960QFJWZD,1
2012,A2BIB960QFJWZD,1
2009,A3KWQVFAS7MXE0,0
2006,A3KWQVFAS7MXE0,0
2008,A3KWQVFAS7MXE0,0
2007,A3KWQVFAS7MXE0,0
2002,A3KWQVFAS7MXE0,0
2003,A3KWQVFAS7MXE0,0
2000,A3KWQVFAS7MXE0,1
2001,A3KWQVFAS7MXE0,0
2019,A3KWQVFAS7MXE0,1
2018,A3KWQVFAS7MXE0,0
2004,A3KWQVFAS7MXE0,1
2005,A3KWQVFAS7MXE0,0
2015,A3KWQVFAS7MXE0,0
2014,A3KWQVFAS7MXE0,0
2017,A3KWQVFAS7MXE0,0
2016,A3KWQVFAS7MXE0,0
2011,A3KWQVFAS7MXE0,1
2010,A3KWQVFAS7MXE0,0
2013,A3KWQVFAS7MXE0,0
2012,A3KWQVFAS7MXE0,0
2009,A1LWNCUCQYFBFR,0
2006,A1LWNCUCQYFBFR,1
2008,A1LWNCUCQYFBFR,0
2007,A1LWNCUCQYFBFR,0
2002,A1LWNCUCQYFBFR,1
2003,A1LWNCUCQYFBFR,0
2000,A1LWNCUCQYFBFR,0
2001,A1LWNCUCQYFBFR,0
2019,A1LWNCUCQYFBFR,0
2018,A1LWNCUCQYFBFR,0
2004,A1LWNCUCQYFBFR,0
2005,A1LWNCUCQYFBFR,0
2015,A1LWNCUCQYFBFR,0
2014,A1LWNCUCQYFBFR,1
2017,A1LWNCUCQYFBFR,1
2016,A1LWNCUCQYFBFR,1
2011,A1LWNCUCQYFBFR,0
2010,A1LWNCUCQYFBFR,0
2013,A1LWNCUCQYFBFR,0
2012,A1LWNCUCQYFBFR,0
2009,AB7QN439WP6RY,1
2006,AB7QN439WP6RY,1
2008,AB7QN439WP6RY,1
2007,AB7QN439WP6RY,0
2002,AB7QN439WP6RY,1
2003,AB7QN439WP6RY,1
2000,AB7QN439WP6RY,1
2001,AB7QN439WP6RY,1
2019,AB7QN439WP6RY,0
2018,AB7QN439WP6RY,0
2004,AB7QN439WP6RY,0
2005,AB7QN439WP6RY,0
2015,AB7QN439WP6RY,1
2014,AB7QN439WP6RY,1
2017,AB7QN439WP6RY,1
2016,AB7QN439WP6RY,1
2011,AB7QN439WP6RY,0
2010,AB7QN439WP6RY,1
2013,AB7QN439WP6RY,0
2012,AB7QN439WP6RY,0
2009,A3Q1351EOKQ4DH,0
2006,A3Q1351EOKQ4DH,1
2008,A3Q1351EOKQ4DH,0
2007,A3Q1351EOKQ4DH,0
2002,A3Q1351EOKQ4DH,0
2003,A3Q1351EOKQ4DH,1
2000,A3Q1351EOKQ4DH,1
2001,A3Q1351EOKQ4DH,0
2019,A3Q1351EOKQ4DH,0
2018,A3Q1351EOKQ4DH,0
2004,A3Q1351EOKQ4DH,0
2005,A3Q1351EOKQ4DH,0
2015,A3Q1351EOKQ4DH,1
2014,A3Q1351EOKQ4DH,1
2017,A3Q1351EOKQ4DH,1
2016,A3Q1351EOKQ4DH,1
2011,A3Q1351EOKQ4DH,0
2010,A3Q1351EOKQ4DH,0
2013,A3Q1351EOKQ4DH,0
2012,A3Q1351EOKQ4DH,0
2009,A3ABAWFXV1DGX,1
2006,A3ABAWFXV1DGX,1
2008,A3ABAWFXV1DGX,0
2007,A3ABAWFXV1DGX,0
2002,A3ABAWFXV1DGX,0
2003,A3ABAWFXV1DGX,1
2000,A3ABAWFXV1DGX,1
2001,A3ABAWFXV1DGX,0
2019,A3ABAWFXV1DGX,0
2018,A3ABAWFXV1DGX,0
2004,A3ABAWFXV1DGX,0
2005,A3ABAWFXV1DGX,0
2015,A3ABAWFXV1DGX,1
2014,A3ABAWFXV1DGX,1
2017,A3ABAWFXV1DGX,1
2016,A3ABAWFXV1DGX,1
2011,A3ABAWFXV1DGX,0
2010,A3ABAWFXV1DGX,0
2013,A3ABAWFXV1DGX,0
2012,A3ABAWFXV1DGX,0
2009,A3PHU29FNBH1NW,1
2006,A3PHU29FNBH1NW,1
